ICKu_MET_NB>HDNu_MET_NB@MET,Metropolitan,NB,32,615,ICKu,Ickenham,606,HDNu,Hillingdon,161,7,27,48,27,26,26,0,0,0,1,1,1,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,3,2,2,3,1,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HDNu_MET_NB>UXBu_MET_NB@MET,Metropolitan,NB,33,606,HDNu,Hillingdon,740,UXBu,Uxbridge,161,7,26,49,26,27,26,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,1,2,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,2,3,1,3,2,3,2,3,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,3,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UXBu_MET_SB>HDNu_MET_SB@MET,Metropolitan,SB,1,740,UXBu,Uxbridge,606,HDNu,Hillingdon,160,13,28,49,26,27,17,1,1,1,1,3,2,2,2,3,3,2,2,3,2,2,3,1,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HDNu_MET_SB>ICKu_MET_SB@MET,Metropolitan,SB,2,606,HDNu,Hillingdon,615,ICKu,Ickenham,161,14,28,49,25,27,18,1,1,1,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,3,2,3,1,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,3,1,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,3,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ICKu_MET_SB>RUIu_MET_SB@MET,Metropolitan,SB,3,615,ICKu,Ickenham,691,RUIu,Ruislip,161,14,28,48,26,27,18,0,1,2,2,2,2,3,2,2,3,2,3,1,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RUIu_MET_SB>RUMu_MET_SB@MET,Metropolitan,SB,4,691,RUIu,Ruislip,693,RUMu,Ruislip Manor,161,14,27,49,26,27,18,0,1,1,3,1,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,3,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RUMu_MET_SB>ETEu_MET_SB@MET,Metropolitan,SB,5,693,RUMu,Ruislip Manor,564,ETEu,Eastcote,161,14,27,49,25,28,18,0,1,1,2,2,3,2,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,3,2,3,2,3,1,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ETEu_MET_SB>RAYu_MET_SB@MET,Metropolitan,SB,6,564,ETEu,Eastcote,683,RAYu,Rayners Lane,161,13,28,49,25,27,19,0,1,1,2,2,3,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,1,2,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RAYu_MET_SB>WHRu_MET_SB@MET,Metropolitan,SB,7,683,RAYu,Rayners Lane,759,WHRu,West Harrow,161,13,27,49,26,27,19,0,1,1,1,3,2,2,3,1,3,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WHRu_MET_SB>HOHu_MET_SB@MET,Metropolitan,SB,8,759,WHRu,West Harrow,598,HOHu,Harrow-on-the-Hill,161,12,28,49,26,27,19,0,1,1,1,2,2,3,2,2,3,2,3,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,2,3,2,2,2,3,2,3,2,2,3,1,3,2,2,2,2,2,2,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AMEu_MET_SB>CLFu_MET_SB@MET,Metropolitan,SB,9,506,AMEu,Amersham,539,CLFu,Chalfont & Latimer,51,6,10,12,9,8,6,0,1,0,1,1,1,1,1,1,1,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,2,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHMu_MET_SB>CLFu_MET_SB@MET,Metropolitan,SB,10,543,CHMu,Chesham,539,CLFu,Chalfont & Latimer,39,2,6,12,7,5,7,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLFu_MET_SB>CWDu_MET_SB@MET,Metropolitan,SB,11,539,CLFu,Chalfont & Latimer,546,CWDu,Chorleywood,90,8,16,24,15,14,13,0,1,0,1,2,1,2,1,1,2,1,2,0,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CWDu_MET_SB>RKYu_MET_SB@MET,Metropolitan,SB,12,546,CWDu,Chorleywood,687,RKYu,Rickmansworth,90,8,16,24,14,15,13,0,0,1,1,2,1,1,2,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RKYu_MET_SB>MPKu_MET_SB@MET,Metropolitan,SB,13,687,RKYu,Rickmansworth,646,MPKu,Moor Park,88,8,16,24,15,14,11,0,0,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WATu_MET_SB>CRXu_MET_SB@MET,Metropolitan,SB,14,748,WATu,Watford,554,CRXu,Croxley,103,9,22,24,20,17,11,0,1,0,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRXu_MET_SB>MPKu_MET_SB@MET,Metropolitan,SB,15,554,CRXu,Croxley,646,MPKu,Moor Park,103,9,22,24,19,18,11,0,0,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MPKu_MET_SB>NWDu_MET_SB@MET,Metropolitan,SB,16,646,MPKu,Moor Park,661,NWDu,Northwood,191,16,38,48,34,32,23,0,0,2,2,2,4,3,3,4,3,3,3,4,3,4,3,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,1,4,3,3,3,4,3,4,3,4,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NWDu_MET_SB>NWHu_MET_SB@MET,Metropolitan,SB,17,661,NWDu,Northwood,662,NWHu,Northwood Hills,191,16,38,48,33,33,23,0,0,2,2,2,4,3,3,3,3,4,3,4,3,2,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,4,2,4,3,3,4,3,3,4,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NWHu_MET_SB>PINu_MET_SB@MET,Metropolitan,SB,18,662,NWHu,Northwood Hills,675,PINu,Pinner,191,15,38,49,33,33,23,0,0,1,2,3,3,3,3,4,3,3,3,4,2,4,3,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,4,3,4,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PINu_MET_SB>NHRu_MET_SB@MET,Metropolitan,SB,19,675,PINu,Pinner,656,NHRu,North Harrow,191,15,38,49,33,32,24,0,0,1,2,2,3,4,3,3,3,4,2,4,3,4,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,3,3,3,2,3,4,2,5,3,3,4,3,3,2,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NHRu_MET_SB>HOHu_MET_SB@MET,Metropolitan,SB,20,656,NHRu,North Harrow,598,HOHu,Harrow-on-the-Hill,191,15,38,48,33,33,24,0,0,0,3,2,3,3,4,3,3,3,3,4,3,3,4,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,4,4,3,3,4,3,1,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HOHu_MET_SB>NWPu_MET_SB@MET,Metropolitan,SB,21,598,HOHu,Harrow-on-the-Hill,660,NWPu,Northwick Park,338,25,67,97,58,53,38,0,0,2,3,4,5,6,5,5,6,6,6,5,5,6,6,6,6,4,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,4,6,5,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NWPu_MET_SB>PRDu_MET_SB@MET,Metropolitan,SB,22,660,NWPu,Northwick Park,677,PRDu,Preston Road,338,24,67,97,58,53,39,0,0,1,3,5,5,5,5,6,6,6,4,6,6,6,6,6,4,6,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,6,5,5,6,5,6,5,5,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PRDu_MET_SB>WPKu_MET_SB@MET,Metropolitan,SB,23,677,PRDu,Preston Road,752,WPKu,Wembley Park,338,24,66,97,58,54,39,0,0,1,3,4,5,5,6,6,4,6,6,6,6,5,5,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,6,5,5,6,5,6,5,6,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WPKu_MET_SB>FRDu_MET_SB@MET,Metropolitan,SB,24,752,WPKu,Wembley Park,579,FRDu,Finchley Road,337,28,66,98,57,54,34,2,2,2,2,4,5,6,5,6,5,6,5,6,6,5,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,5,6,6,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRDu_MET_SB>BSTu_MET_SB@MET,Metropolitan,SB,25,579,FRDu,Finchley Road,511,BSTu,Baker Street,357,32,67,100,67,55,36,1,2,2,5,6,5,6,5,6,5,6,5,6,6,5,6,6,5,6,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,5,6,6,6,6,5,6,5,6,5,6,6,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSTu_MET_SB>GPSu_MET_SB@MET,Metropolitan,SB,26,511,BSTu,Baker Street,588,GPSu,Great Portland Street,235,12,47,73,46,39,18,0,0,0,1,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GPSu_MET_SB>ESQu_MET_SB@MET,Metropolitan,SB,27,588,GPSu,Great Portland Street,575,ESQu,Euston Square,235,12,47,73,45,40,18,0,0,0,1,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,5,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESQu_MET_SB>KXXu_MET_SB@MET,Metropolitan,SB,28,575,ESQu,Euston Square,625,KXXu,King's Cross St. Pancras,235,11,47,73,46,39,19,0,0,0,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KXXu_MET_SB>FARu_MET_SB@MET,Metropolitan,SB,29,625,KXXu,King's Cross St. Pancras,577,FARu,Farringdon,235,11,47,73,46,39,19,0,0,0,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FARu_MET_SB>BARu_MET_SB@MET,Metropolitan,SB,30,577,FARu,Farringdon,501,BARu,Barbican,235,10,47,73,46,39,20,0,0,0,0,2,3,2,3,4,4,3,4,5,3,4,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BARu_MET_SB>MGTu_MET_SB@MET,Metropolitan,SB,31,501,BARu,Barbican,645,MGTu,Moorgate,235,10,47,72,47,39,20,0,0,0,0,2,3,2,3,3,5,3,4,5,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MGTu_MET_SB>LSTu_MET_SB@MET,Metropolitan,SB,32,645,MGTu,Moorgate,634,LSTu,Liverpool Street LU,235,10,47,72,46,40,20,0,0,0,0,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LSTu_MET_SB>ALDu_MET_SB@MET,Metropolitan,SB,33,634,LSTu,Liverpool Street LU,502,ALDu,Aldgate,235,9,47,72,47,39,21,0,0,0,0,1,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MORu_NOR_NB>SWMu_NOR_NB@NOR,Northern,NB,1,647,MORu,Morden,711,SWMu,South Wimbledon,460,38,83,120,86,62,71,0,5,4,5,6,5,7,6,7,7,8,8,8,8,7,7,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,7,7,8,7,8,7,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,
SWMu_NOR_NB>CLWu_NOR_NB@NOR,Northern,NB,2,711,SWMu,South Wimbledon,552,CLWu,Colliers Wood,460,37,83,120,86,62,72,0,5,4,4,6,5,6,7,7,7,8,8,8,7,8,7,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,8,7,7,8,7,8,7,8,7,8,6,6,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,
CLWu_NOR_NB>TBYu_NOR_NB@NOR,Northern,NB,3,552,CLWu,Colliers Wood,727,TBYu,Tooting Broadway,460,36,83,120,86,62,73,0,4,4,4,6,5,7,6,7,7,8,8,8,7,8,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,8,7,7,8,7,8,7,8,7,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,
TBYu_NOR_NB>TBEu_NOR_NB@NOR,Northern,NB,4,727,TBYu,Tooting Broadway,726,TBEu,Tooting Bec,460,35,84,120,85,63,73,0,3,5,4,5,6,6,6,7,7,8,8,8,7,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,7,7,7,8,7,8,7,8,7,8,6,6,6,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,
TBEu_NOR_NB>BALu_NOR_NB@NOR,Northern,NB,5,726,TBEu,Tooting Bec,512,BALu,Balham LU,458,35,83,120,85,63,72,0,3,4,4,5,6,6,7,6,7,8,8,8,7,8,8,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,7,8,7,7,8,7,8,7,8,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,
BALu_NOR_NB>CPSu_NOR_NB@NOR,Northern,NB,6,512,BALu,Balham LU,549,CPSu,Clapham South,458,34,84,120,84,64,72,0,2,5,4,5,5,6,7,7,7,7,8,8,7,8,8,6,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,7,7,8,7,8,7,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,
CPSu_NOR_NB>CPCu_NOR_NB@NOR,Northern,NB,7,549,CPSu,Clapham South,547,CPCu,Clapham Common,458,33,84,120,84,64,73,0,2,4,4,5,6,5,7,7,7,7,8,8,7,8,8,6,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,7,7,8,7,8,7,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,
CPCu_NOR_NB>CPNu_NOR_NB@NOR,Northern,NB,8,547,CPCu,Clapham Common,548,CPNu,Clapham North,458,32,84,120,84,64,74,0,1,5,4,4,6,6,6,7,7,7,8,8,7,8,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,8,7,7,8,7,8,7,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,
CPNu_NOR_NB>STKu_NOR_NB@NOR,Northern,NB,9,548,CPNu,Clapham North,716,STKu,Stockwell,456,32,84,120,84,64,72,0,0,5,4,5,6,5,7,6,7,7,8,8,7,8,8,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,7,7,8,7,8,7,8,6,7,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,1,
STKu_NOR_NB>OVLu_NOR_NB@NOR,Northern,NB,10,716,STKu,Stockwell,668,OVLu,Oval,456,31,84,120,84,64,73,0,0,5,4,4,6,5,7,6,7,7,8,8,7,8,8,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,7,7,8,7,8,7,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,3,3,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,
OVLu_NOR_NB>KENu_NOR_NB@NOR,Northern,NB,11,668,OVLu,Oval,616,KENu,Kennington,456,30,84,121,83,65,73,0,0,4,4,4,6,6,6,6,7,7,8,7,8,8,8,7,7,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,7,8,7,7,8,7,8,7,8,7,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,
BPSu_NOR_NB>NIEu_NOR_NB@NOR,Northern,NB,12,832,BPSu,Battersea Power Station,831,NIEu,Nine Elms,196,9,34,60,35,31,27,0,1,1,1,1,2,1,2,1,3,3,3,3,4,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NIEu_NOR_NB>KENu_NOR_NB@NOR,Northern,NB,13,831,NIEu,Nine Elms,616,KENu,Kennington,196,9,34,60,34,32,27,0,1,1,1,1,2,1,2,1,3,2,4,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KENu_NOR_NB>WLOu_NOR_NB@NOR,Northern,NB,14,616,KENu,Kennington,747,WLOu,Waterloo LU,410,20,64,120,68,61,77,0,0,2,2,3,4,4,5,5,6,5,6,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,3,4,2,2,2,2,2,2,1,0,1,2,2,2,2,2,1,
WLOu_NOR_NB>EMBu_NOR_NB@NOR,Northern,NB,15,747,WLOu,Waterloo LU,542,EMBu,Embankment,410,19,64,120,68,61,78,0,0,2,2,3,3,4,5,5,6,5,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,3,3,3,3,4,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,
EMBu_NOR_NB>CHXu_NOR_NB@NOR,Northern,NB,16,542,EMBu,Embankment,718,CHXu,Charing Cross LU,410,18,65,120,67,62,78,0,0,1,3,2,4,4,4,6,5,6,5,5,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,3,4,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,
