NWBu_BAK_SB>WEMu_BAK_SB@BAK,Bakerloo,SB,4,659,NWBu,North Wembley,751,WEMu,Wembley Central,83,4,16,24,15,13,11,0,0,0,1,0,1,1,1,1,2,1,2,1,2,1,2,0,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,2,1,2,1,2,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WEMu_BAK_SB>SPKu_BAK_SB@BAK,Bakerloo,SB,5,751,WEMu,Wembley Central,717,SPKu,Stonebridge Park,83,4,15,24,15,13,12,0,0,0,1,0,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SPKu_BAK_SB>HARu_BAK_SB@BAK,Bakerloo,SB,6,717,SPKu,Stonebridge Park,596,HARu,Harlesden,163,12,28,49,31,24,19,0,1,0,2,2,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HARu_BAK_SB>WJNu_BAK_SB@BAK,Bakerloo,SB,7,596,HARu,Harlesden,766,WJNu,Willesden Junction,163,12,28,49,31,24,19,0,1,0,2,2,2,3,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WJNu_BAK_SB>KGNu_BAK_SB@BAK,Bakerloo,SB,8,766,WJNu,Willesden Junction,617,KGNu,Kensal Green,163,12,28,48,32,24,19,0,0,1,2,2,1,3,3,2,3,2,2,3,2,3,2,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,3,3,2,3,2,2,2,3,3,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KGNu_BAK_SB>QPKu_BAK_SB@BAK,Bakerloo,SB,9,617,KGNu,Kensal Green,680,QPKu,Queen's Park,163,12,27,49,31,24,20,0,0,1,1,2,2,2,4,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
QPKu_BAK_SB>KPKu_BAK_SB@BAK,Bakerloo,SB,10,680,QPKu,Queen's Park,623,KPKu,Kilburn Park,322,17,63,97,63,48,34,0,0,1,2,2,4,4,4,5,6,5,6,5,6,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,5,5,6,5,5,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KPKu_BAK_SB>MDVu_BAK_SB@BAK,Bakerloo,SB,11,623,KPKu,Kilburn Park,637,MDVu,Maida Vale,322,17,63,96,63,49,34,0,0,1,2,2,4,4,4,5,5,6,5,6,5,6,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,6,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MDVu_BAK_SB>WARu_BAK_SB@BAK,Bakerloo,SB,12,637,MDVu,Maida Vale,746,WARu,Warwick Avenue,322,16,63,97,62,49,35,0,0,1,2,2,4,4,3,5,6,5,6,5,5,6,6,5,5,5,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,6,5,6,5,5,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WARu_BAK_SB>PADu_BAK_SB@BAK,Bakerloo,SB,13,746,WARu,Warwick Avenue,670,PADu,Paddington TfL,322,16,63,96,63,49,35,0,0,1,2,2,2,5,4,5,5,6,5,5,6,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,6,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PADu_BAK_SB>ERBu_BAK_SB@BAK,Bakerloo,SB,14,670,PADu,Paddington TfL,774,ERBu,Edgware Road (Bak),322,15,63,97,62,50,35,0,0,0,3,1,3,4,4,5,5,6,5,6,5,6,5,6,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,6,5,5,6,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
